Team,team_id,Win%,Roster,26-Man Payroll,Injured Reserve,Retained,Buried,Suspended,2022 Total Payroll,26-Man Payroll Avg
Los Angeles Dodgers,LAD,0.685,28,231003922,28920266,5332866,1256241,35333333,270381426,8884766
New York Mets,NYM,0.623,31,231062889,4155954,28130999,4942664,0,268292506,8887034
New York Yankees,NYY,0.611,30,214676803,25203665,12115094,961638,0,252957200,8256800
Philadelphia Phillies,PHI,0.537,28,191757795,11897332,30945214,9883756,0,244484097,7375299
San Diego Padres,SD,0.549,29,173934032,10925000,34528348,921017,5714286,224511694,6689770
Boston Red Sox,BOS,0.481,25,109769156,50192677,48696520,3153778,0,211812131,4221890
Chicago White Sox,CWS,0.5,27,154697729,20008123,25306501,3192973,0,203205326,5949912
Houston Astros,HOU,0.654,28,145414730,21550000,14691453,2135613,0,183791796,5592874
Atlanta Braves,ATL,0.623,28,143633732,20918726,10710954,8175476,0,183438888,5524374
Los Angeles Angels,LAA,0.451,28,118104253,6978028,49768044,5027486,0,179877811,4542471
Toronto Blue Jays,TOR,0.568,29,141674814,25698159,7955708,1685299,0,177013980,5449031
San Francisco Giants,SF,0.5,28,43246200,90082706,19651602,3472538,0,162453046,1663315
St. Louis Cardinals,STL,0.574,28,134723541,8750000,9569813,3384971,0,156428325,5181674
Chicago Cubs,CHC,0.457,28,83228504,44219852,20225459,3380922,0,151054737,3201096
Texas Rangers,TEX,0.42,28,101239086,13330822,30024329,5443209,0,150037446,3893811
Minnesota Twins,MIN,0.481,26,77058186,52184173,18666930,1120869,0,149030158,2963776
Colorado Rockies,COL,0.42,28,66960029,64172808,7833905,1045476,0,140012218,2575385
Detroit Tigers,DET,0.407,27,105762860,13017207,15133063,2374458,0,136287588,4067802
Milwaukee Brewers,MIL,0.531,28,93743089,5763506,26548013,4714717,0,130769325,3605503
Washington Nationals,WSH,0.34,28,58988509,40679307,25629924,1511795,0,126809535,2268788
Seattle Mariners,SEA,0.556,28,86845908,9896644,13680533,5415822,0,115838907,3340227
Cincinnati Reds,CIN,0.383,27,22546012,61230258,30148483,1542568,0,115467321,867154
Tampa Bay Rays,TB,0.531,30,50869016,33372433,11455026,2645598,0,98342073,1956500
Kansas City Royals,KC,0.401,28,62728828,6413200,21516010,1955673,0,92613711,2412647
Arizona Diamondbacks,AZ,0.457,28,53176803,19224958,9533407,3328922,0,85964090,2045261
Miami Marlins,MIA,0.426,28,49341980,20999362,10674607,1938473,0,82954422,1897768
Cleveland Guardians,CLE,0.568,28,56507878,702900,4619812,4646902,0,66477492,2173379
Pittsburgh Pirates,PIT,0.383,28,30472503,8449026,13072838,4189665,0,56184032,1172019
Oakland Athletics,OAK,0.37,29,15196960,6642582,22966027,3265269,0,48443900,584498
Baltimore Orioles,BAL,0.512,29,22538146,5709974,13258460,3381808,0,44888388,866851
