No,Name,Team,Position,Age,Bats,Salary
1,Mike Trout,LAA,CF,30,R,37216667
2,Anthony Rendon,LAA,3B,32,R,36571428
3,Carlos Correa,MIN,SS,27,R,35100000
4,Nolan Arenado,STL,3B,31,R,35075000
5,Francisco Lindor,NYM,SS,28,,34100000
6,Corey Seager,TEX,SS,28,L,33000000
7,Manny Machado,SD,3B,29,R,32000000
8,Miguel Cabrera,DET,DH,39,R,32000000
9,George Springer,TOR,CF,32,R,29666666
10,Jose Altuve,HOU,2B,32,R,29000000
11,Giancarlo Stanton,NYY,RF,32,R,29000000
12,Bryce Harper,PHI,DH,29,L,27638462
13,Freddie Freeman,LAD,1B,32,L,27000000
14,Paul Goldschmidt,STL,1B,34,R,26300000
15,Christian Yelich,MIL,LF,30,L,26000000
16,Joey Votto,CIN,1B,38,L,25000000
17,Marcus Semien,TEX,2B,31,R,25000000
18,Jason Heyward,CHC,RF,32,L,24500000
19,J.T. Realmuto,PHI,C,31,R,23875000
20,Josh Donaldson,NYY,DH,36,R,23000000
21,Mookie Betts,LAD,RF,29,R,22500000
22,Wil Myers,SD,RF,31,R,22500000
23,Jose Ramirez,CLE,3B,29,,22000000
24,Charlie Blackmon,COL,DH,36,L,21333333
25,Trea Turner,LAD,SS,29,R,21000000
26,Justin Turner,LAD,3B,37,R,20000000
27,Nick Castellanos,PHI,RF,30,R,20000000
28,Javier Baez,DET,SS,29,R,20000000
29,Xander Bogaerts,BOS,SS,29,R,20000000
30,Trevor Story,BOS,2B,29,R,20000000
31,Jose Abreu,CHW,1B,35,R,19666668
32,Evan Longoria,SF,3B,36,R,19500000
33,J.D. Martinez,BOS,DH,34,R,19350000
34,Aaron Judge,NYY,CF,30,R,19000000
35,Kyle Schwarber,PHI,LF,29,L,19000000
36,Brandon Belt,SF,1B,34,L,18400000
37,Yasmani Grandal,CHW,C,33,,18250000
38,Salvador Perez,KC,C,32,R,18000000
39,Kris Bryant,COL,LF,30,R,18000000
40,Juan Soto,SD,RF,23,L,17100000
41,Cody Bellinger,LAD,CF,26,L,17000000
42,Brandon Crawford,SF,SS,35,L,16000000
43,Michael Brantley,HOU,LF,35,L,16000000
44,Anthony Rizzo,NYY,1B,32,L,16000000
45,Marcell Ozuna,ATL,DH,31,R,16000000
46,Mike Moustakas,CIN,DH,33,L,16000000
47,Starling Marte,NYM,RF,33,R,15750000
48,Chris Taylor,LAD,LF,31,R,15000000
49,D.J. LeMahieu,NYY,3B,33,R,15000000
50,Ronald Acuna Jr.,ATL,RF,24,R,15000000
51,Matt Olson,ATL,1B,28,L,15000000
52,Jean Segura,PHI,2B,32,R,14850000
53,A.J. Pollock,CHW,LF,34,R,14500000
54,Yoan Moncada,CHW,3B,27,,13800000
55,Alex Bregman,HOU,3B,28,R,13000000
56,Max Muncy,LAD,DH,31,L,13000000
57,Mark Canha,NYM,LF,33,R,12666666
58,Matt Chapman,TOR,3B,29,R,12500000
59,Kevin Kiermaier,TB,CF,32,L,12166668
60,Nelson Cruz,WSH,DH,41,R,12000000
61,Avisail Garcia,MIA,RF,31,R,12000000
62,Jorge Soler,MIA,LF,30,R,12000000
63,Eugenio Suarez,SEA,3B,30,R,11285714
64,Rafael Devers,BOS,3B,25,L,11200000
65,Carlos Santana,SEA,1B,36,,11175000
66,Aaron Hicks,NYY,CF,32,,10785714
67,Teoscar Hernandez,TOR,DH,29,R,10650000
68,Randal Grichuk,COL,RF,30,R,10333333
69,Joey Gallo,LAD,LF,28,L,10275000
70,Eduardo Escobar,NYM,3B,33,,10000000
71,Josh Bell,SD,1B,29,,10000000
72,Dansby Swanson,ATL,SS,28,R,10000000
73,Ke'Bryan Hayes,PIT,3B,25,R,10000000
74,Yadier Molina,STL,C,39,R,10000000
75,Willson Contreras,CHC,C,30,R,9625000
76,Tim Anderson,CHW,SS,29,R,9500000
77,Adam Duvall,ATL,LF,33,R,9275000
78,Miguel Sano,MIN,1B,29,R,9250000
79,Byron Buxton,MIN,CF,28,R,9142857
80,Gary Sanchez,MIN,C,29,R,9000000
81,Eddie Rosario,ATL,LF,30,L,9000000
82,Kolten Wong,MIL,2B,31,L,8500000
83,Andrew McCutchen,MIL,DH,35,R,8500000
84,Andrew Benintendi,NYY,LF,27,L,8500000
85,Ketel Marte,ARI,2B,28,,8400000
86,Jackson Holliday,BAL,SS,18,,8190000
87,Druw Jones,ARI,CF,18,,8189400
88,David Peralta,TB,LF,34,L,8150000
89,James McCann,NYM,C,32,R,8150000
90,Nick Ahmed,ARI,SS,32,R,8125000
91,Enrique Hernandez,BOS,CF,30,R,8000000
92,Yulieski Gurriel,HOU,1B,38,R,8000000
93,Travis d'Arnaud,ATL,C,33,R,8000000
94,Seiya Suzuki,CHC,RF,27,,8000000
95,Adam Frazier,SEA,2B,30,L,8000000
96,Vladimir Guerrero Jr.,TOR,1B,23,R,7900000
97,Mitch Haniger,SEA,RF,31,R,7750000
98,Tucker Barnhart,DET,C,31,L,7750000
99,Rhys Hoskins,PHI,1B,29,R,7700000
100,Hunter Renfroe,MIL,RF,30,R,7650000
101,Trey Mancini,HOU,1B,30,R,7500000
102,Jonathan Schoop,DET,2B,30,R,7500000
103,Pete Alonso,NYM,1B,27,R,7400000
104,Jurickson Profar,SD,LF,29,,7333333
105,Eloy Jimenez,CHW,LF,25,R,7333333
106,C.J. Cron,COL,1B,32,R,7250000
107,Temarr Johnson,PIT,2B,18,,7219000
108,Mike Zunino,TB,C,31,R,7000000
109,Christian Vazquez,HOU,C,31,R,7000000
110,Brandon Nimmo,NYM,CF,29,L,7000000
111,Ha-seong Kim,SD,SS,26,R,7000000
112,Whit Merrifield,TOR,2B,33,R,7000000
113,Ian Happ,CHC,LF,27,,6850000
114,Max Kepler,MIN,RF,29,L,6750000
115,Bryan Reynolds,PIT,CF,27,,6750000
116,Giovanny Urshela,MIN,3B,30,R,6550000
117,Elijah Green,WSH,CF,18,,6500000
118,Gleyber Torres,NYY,2B,25,R,6250000
119,Jesse Winker,SEA,LF,28,L,6250000
120,Paul DeJong,STL,SS,28,R,6166666
121,Tommy Pham,BOS,LF,34,R,6000000
122,Joc Pederson,SF,LF,30,L,6000000
123,Luis Robert,CHW,CF,24,R,6000000
124,Jacob Berry,MIA,1B,21,,6000000
125,Yan Gomes,CHC,C,34,R,6000000
126,J.P. Crawford,SEA,SS,27,L,6000000
127,Brad Miller,TEX,LF,32,L,6000000
128,Jeimer Candelario,DET,3B,28,,5800000
129,Fernando Tatis Jr.,SD,SS,23,R,5714286
130,Brooks Lee,MIN,SS,21,,5675000
131,Manuel Margot,TB,RF,27,R,5600000
132,Jorge Polanco,MIN,2B,28,,5500000
133,Leury Garcia,CHW,2B,31,,5500000
134,Miguel Rojas,MIA,SS,33,R,5500000
135,Shohei Ohtani,LAA,SP/DH,27,,5500000
136,Luke Voit,WSH,DH,31,R,5450000
137,Tommy La Stella,SF,DH,33,L,5250000
138,Gavin Cross,KC,RF,21,,5202900
139,Kole Calhoun,TEX,LF,34,L,5200000
140,Kevin Parada,NYM,C,20,,5019735
141,Omar Narvaez,MIL,C,30,L,5000000
142,Martin Maldonado,HOU,C,35,R,5000000
143,Ozzie Albies,ATL,2B,25,,5000000
144,Roberto Perez,PIT,C,33,R,5000000
145,Robbie Grossman,ATL,LF,32,,5000000
146,Jose Iglesias,COL,SS,32,R,5000000
147,Ryan McMahon,COL,3B,27,L,5000000
148,Corey Dickerson,STL,LF,33,L,5000000
149,Cam Collier,CIN,3B,17,,5000000
150,Amed Rosario,CLE,SS,26,R,4950000
151,Lourdes Gurriel Jr.,TOR,LF,28,R,4928571
152,Christian Vaquero,WSH,OF,17,,4900000
153,Jason Castro,HOU,C,35,L,4750000
154,Hunter Dozier,KC,1B,30,R,4750000
155,Harrison Bader,NYY,CF,28,R,4700000
156,Isiah Kiner-Falefa,NYY,SS,27,R,4700000
157,Michael Taylor,KC,CF,31,R,4650000
158,Willy Adames,MIL,SS,26,R,4600000
159,Jace Jung,DET,2B,21,,4590300
160,Joe Wendle,MIA,3B,32,L,4550000
161,Franmil Reyes,CHC,DH,26,R,4550000
162,Cesar Hernandez,WSH,2B,32,,4500000
163,Donovan Solano,CIN,2B,34,R,4500000
164,Brian Anderson,MIA,3B,29,R,4475000
165,Aledmys Diaz,HOU,SS,31,R,4450000
166,Tyler Naquin,NYM,DH,31,L,4025000
167,Austin Hedges,CLE,C,29,R,4000000
168,Brandon Lowe,TB,2B,27,L,4000000
169,Roderick Arias,NYY,SS,17,,4000000
170,Josh Harrison,CHW,2B,34,R,4000000
171,David Fletcher,LAA,SS,28,R,4000000
