No,Name,Team,Position,Age,Throws,Salary
1,Max Scherzer,NYM,SP,37,R,43333333
2,Jacob deGrom,NYM,SP,34,R,36000000
3,Gerrit Cole,NYY,SP,31,R,36000000
4,Trevor Bauer,LAD,SP,31,R,35333333
5,Stephen Strasburg,WSH,SP,33,R,35000000
6,David Price,LAD,RP,36,L,32000000
7,Chris Sale,BOS,SP,33,L,30000000
8,Zack Wheeler,PHI,SP,32,R,26000000
9,Justin Verlander,HOU,SP,39,R,25000000
10,Marcus Stroman,CHC,SP,31,R,25000000
11,Patrick Corbin,WSH,SP,32,L,23416666
12,Madison Bumgarner,ARI,SP,32,L,23000000
13,Carlos Rodon,SF,SP,29,L,21500000
14,Kevin Gausman,TOR,SP,31,R,21000000
15,Noah Syndergaard,PHI,SP,29,R,21000000
16,Robbie Ray,SEA,SP,30,L,21000000
17,Clayton Kershaw,LAD,SP,34,L,20000000
18,Yu Darvish,SD,SP,35,R,20000000
19,Charlie Morton,ATL,SP,38,R,20000000
20,Hyun-Jin Ryu,TOR,SP,35,L,20000000
21,Lance Lynn,CHW,SP,35,R,18500000
22,Aroldis Chapman,NYY,RP,34,L,18000000
23,Adam Wainwright,STL,SP,40,R,17500000
24,Nathan Eovaldi,BOS,SP,32,R,17000000
25,Miles Mikolas,STL,SP,33,R,16750000
26,Craig Kimbrel,LAD,RP/CL,34,R,16000000
27,Kenley Jansen,ATL,RP/CL,34,R,16000000
28,Yusei Kikuchi,TOR,RP,31,L,16000000
29,Lance McCullers,HOU,SP,28,R,15950000
30,Aaron Nola,PHI,SP,29,R,15500000
31,Jon Gray,TEX,SP,30,R,15000000
32,Zack Britton,NYY,RP,34,L,14000000
33,Kyle Hendricks,CHC,SP,32,R,14000000
34,Eduardo Rodriguez,DET,SP,29,L,14000000
35,Alex Wood,SF,SP,31,L,13500000
36,Liam Hendriks,CHW,RP/CL,33,R,13333333
37,Blake Snell,SD,SP,29,L,13100000
38,Corey Kluber,TB,SP,36,R,13000000
39,Will Smith,HOU,RP/CL,32,L,13000000
40,Zack Greinke,KC,SP,38,R,13000000
41,Anthony DeSclafani,SF,SP,32,R,12000000
42,Carlos Carrasco,NYM,SP,35,R,12000000
43,Sonny Gray,MIN,SP,32,R,11866667
44,Luis Severino,NYY,SP,28,R,11500000
45,German Marquez,COL,SP,27,R,11300000
46,Josh Hader,SD,RP/CL,28,L,11000000
47,Jose Berrios,TOR,SP,28,R,10714285
48,Edwin Diaz,NYM,RP/CL,28,R,10200000
49,Ryan Pressly,HOU,RP/CL,33,R,10000000
50,Drew Pomeranz,SD,RP,33,L,10000000
51,Raisel Iglesias,ATL,RP/CL,32,R,10000000
52,Wade Miley,CHC,SP,35,L,10000000
53,Corey Knebel,PHI,RP,30,R,10000000
54,Mike Minor,CIN,SP,34,L,10000000
55,Sean Manaea,SD,SP,30,L,9750000
56,Alex Cobb,SF,SP,34,R,9000000
57,Chris Bassitt,NYM,SP,33,R,8650000
58,Joe Musgrove,SD,SP,29,R,8625000
59,Tyler Anderson,LAD,SP,32,L,8500000
60,Andrew Heaney,LAD,SP,31,L,8500000
61,Mike Clevinger,SD,SP,31,R,8500000
62,Jake Odorizzi,ATL,SP,32,R,8500000
63,Steven Matz,STL,RP,31,L,8500000
64,Matt Barnes,BOS,RP,32,R,8125000
65,Will Harris,WSH,RP,37,R,8000000
66,Hector Neris,HOU,RP,33,R,8000000
67,Blake Treinen,LAD,RP,34,R,8000000
68,Julio Urias,LAD,SP,25,L,8000000
69,Kendall Graveman,CHW,RP/CL,31,R,8000000
70,Kyle Gibson,PHI,SP,34,R,8000000
71,Trevor May,NYM,RP/CL,32,R,7750000
72,Aaron Loup,LAA,RP,34,L,7500000
73,Lucas Giolito,CHW,SP,27,R,7450000
74,Luis Castillo,SEA,SP,29,R,7350000
75,Taylor Rogers,MIL,RP,31,L,7300000
76,Walker Buehler,LAD,SP,27,R,7250000
77,Antonio Senzatela,COL,SP,27,R,7250000
78,Michael Wacha,BOS,SP,31,R,7000000
79,Taijuan Walker,NYM,SP,29,R,7000000
80,Joe Kelly,CHW,RP,34,R,7000000
81,Kyle Freeland,COL,SP,29,L,7000000
82,Scott Oberg,COL,RP,32,R,7000000
83,Mark Melancon,ARI,RP,37,R,7000000
84,Ryan Tepera,LAA,RP,34,R,7000000
85,Max Fried,ATL,SP,28,L,6850000
86,Brandon Woodruff,MIL,SP,29,R,6800000
87,Michael Lorenzen,LAA,SP,30,R,6750000
88,Corbin Burnes,MIL,SP,27,R,6500000
89,James Paxton,BOS,SP,33,L,6000000
90,Jordan Lyles,BAL,SP,31,R,6000000
91,Shane Bieber,CLE,SP,27,R,6000000
92,Daniel Hudson,LAD,RP/CL,35,R,6000000
93,Nick Martinez,SD,RP,31,R,6000000
94,Robert Suarez,SD,RP,31,,6000000
95,Jordan Montgomery,STL,SP,29,L,6000000
96,Brad Hand,PHI,RP,32,L,6000000
97,Andrew Chafin,DET,RP/CL,32,L,6000000
98,Jameson Taillon,NYY,SP,30,R,5800000
99,Marco Gonzales,SEA,SP,30,L,5750000
100,Zach Eflin,PHI,RP,28,R,5550000
101,Rich Hill,BOS,SP,42,L,5500000
102,Yimi Garcia,TOR,RP,31,R,5500000
103,Shohei Ohtani,LAA,SP/DH,27,R,5500000
104,Merrill Kelly,ARI,SP,33,R,5250000
105,Jose Leclerc,TEX,RP,28,R,5250000
106,Tyler Mahle,MIN,SP,27,R,5200000
107,Matt Boyd,SEA,RP,31,L,5200000
108,Kumar Rocker,TEX,SP,22,,5200000
109,Tyler Glasnow,TB,SP,28,R,5100000
110,David Robertson,PHI,RP/CL,37,R,5100000
111,Frankie Montas,NYY,SP,29,R,5025000
112,Adam Ottavino,NYM,RP,36,R,5000000
113,Jack Flaherty,STL,SP,26,R,5000000
114,Michael Fulmer,MIN,RP,29,R,4950000
115,Brad Keller,KC,RP,26,R,4825000
116,Dinelson Lamet,COL,RP,29,R,4775000
117,Trevor Rosenthal,MIL,RP,32,R,4500000
118,Ian Kennedy,ARI,RP,37,R,4500000
